Date,Algorithm,Structure,Distribution,Size,Iterations,MinTime_us,MaxTime_us,AvgTime_us
2026-05-10 15:29:01,InsertionSort,Array,Random,5000,50,64401,65816,64586.6
2026-05-10 15:29:14,InsertionSort,Array,Random,10000,50,255951,274346,257348
2026-05-10 15:30:36,InsertionSort,Array,Random,25000,50,1624704,1658436,1.63241e+06
2026-05-10 15:36:00,InsertionSort,Array,Random,50000,50,6470184,6525680,6.49248e+06
2026-05-10 15:36:02,InsertionSort,SinglyLinkedList,Random,5000,50,26182,28403,27780.6
2026-05-10 15:36:10,InsertionSort,SinglyLinkedList,Random,10000,50,132746,173051,161612
2026-05-10 15:37:29,InsertionSort,SinglyLinkedList,Random,25000,50,1338984,1603728,1.57609e+06
2026-05-10 15:43:34,InsertionSort,SinglyLinkedList,Random,50000,50,6661241,7422082,7.3048e+06
2026-05-10 15:43:35,InsertionSort,DoublyLinkedList,Random,5000,50,24574,27511,26796.6
2026-05-10 15:43:40,InsertionSort,DoublyLinkedList,Random,10000,50,97144,105833,103454
2026-05-10 15:44:14,InsertionSort,DoublyLinkedList,Random,25000,50,601668,696156,668872
2026-05-10 15:46:34,InsertionSort,DoublyLinkedList,Random,50000,50,2434116,3011939,2.80741e+06
2026-05-10 15:46:34,BucketSort,Array,Random,5000,50,509,635,519.98
2026-05-10 15:46:35,BucketSort,Array,Random,10000,50,1080,1161,1094.34
2026-05-10 15:46:35,BucketSort,Array,Random,25000,50,2860,4305,2950.72
2026-05-10 15:46:35,BucketSort,Array,Random,50000,50,6328,9905,6650.06
2026-05-10 15:46:35,BucketSort,SinglyLinkedList,Random,5000,50,487,607,502
2026-05-10 15:46:35,BucketSort,SinglyLinkedList,Random,10000,50,1030,1306,1071.82
2026-05-10 15:46:35,BucketSort,SinglyLinkedList,Random,25000,50,2775,4423,2875.3
2026-05-10 15:46:36,BucketSort,SinglyLinkedList,Random,50000,50,6557,13327,7702.54
2026-05-10 15:46:36,BucketSort,DoublyLinkedList,Random,5000,50,488,598,504.84
2026-05-10 15:46:36,BucketSort,DoublyLinkedList,Random,10000,50,1036,2555,1174.42
2026-05-10 15:46:36,BucketSort,DoublyLinkedList,Random,25000,50,2778,4044,2884.02
2026-05-10 15:46:37,BucketSort,DoublyLinkedList,Random,50000,50,6678,9222,7132.3
2026-05-10 15:46:37,QuickSort,Array,Random,5000,50,900,1082,914.78
2026-05-10 15:46:37,QuickSort,Array,Random,10000,50,1928,2790,1967.96
2026-05-10 15:46:37,QuickSort,Array,Random,25000,50,5254,6124,5337.68
2026-05-10 15:46:38,QuickSort,Array,Random,50000,50,11041,18082,11579
2026-05-10 15:46:38,QuickSort,SinglyLinkedList,Random,5000,50,882,982,916.5
2026-05-10 15:46:38,QuickSort,SinglyLinkedList,Random,10000,50,1900,2086,1963.36
2026-05-10 15:46:38,QuickSort,SinglyLinkedList,Random,25000,50,5236,5640,5376.9
2026-05-10 15:46:39,QuickSort,SinglyLinkedList,Random,50000,50,11416,12473,11782.3
2026-05-10 15:46:39,QuickSort,DoublyLinkedList,Random,5000,50,744,796,760.5
2026-05-10 15:46:39,QuickSort,DoublyLinkedList,Random,10000,50,1646,1845,1686.4
2026-05-10 15:46:39,QuickSort,DoublyLinkedList,Random,25000,50,4535,5425,4625.6
2026-05-10 15:46:40,QuickSort,DoublyLinkedList,Random,50000,50,10281,10939,10489.9
